Year,ASM_Total,RPM_Total,Pax_Revenue_000,Total_Revenue_000,ASM_Domestic,ASM_International,RPM_Domestic,RPM_International,PaxRev_Domestic_000,PaxRev_Intl_000,Yield_cents_per_RPM,RASM_cents,CASM_cents,LoadFactor_Pct,LoadFactor_Dom_Pct,LoadFactor_Intl_Pct,BlockHours_Total,AirborneHours_Total,Departures_Total,Gallons_Total,Aircraft_InFleet,DailyUtil_BlockHrs,GallonsPerBlockHour,OpExp_Pilots_000,OpExp_Fuel_000,OpExp_Maintenance_000,OpExp_AircraftOwn_000,Employees_Total,Employees_Pilots,Employees_Maintenance,AvgSalary_Total,AvgSalary_Pilots,AvgSalary_Mgmt,ASMs_per_Employee_000,BlockHrs_per_Emp_Month,Pax_per_Employee,FuelPrice_per_Gal,StageLength_Miles,SeatsPerDeparture,AirborneHrs_BlockHrs,Maint_Outsourced_Pct,CPBH_Total,CPBH_ExFuel,CPBH_Fuel,CPBH_Pilots,CPBH_Maintenance,CPBH_AircraftOwn,Ancillary_Revenue_000,RASM_CASM_Spread,Intl_ASM_Share_Pct,Revenue_per_Emp_000,FuelCost_per_ASM_cents,Ancillary_Pct_of_Rev,FuelBurn_ASM_per_Gal,Era,Era_Order,Is_ULCC_Era,Is_Full_Year
1995,716894000.0,347337000.0,53625.92,55850.34,716894000.0,0.0,347337000.0,0.0,53625.92,0.0,0.15439161390810655,0.07480313686542223,0.0,0.48450259034111043,0.48450259034111043,0.0,19202.0,16614.0,14509.0,13561406.0,5.361643835616438,9.811957077158917,706.2496614935944,0.0,0.0,0.0,0.0,326.0,42.0,14.0,26883.9263803681,0.0,60305.96153846154,2199.0613496932515,4.908486707566462,1875.6165644171779,0.0,447.3009166724102,110.46321439395959,0.8652223726695136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2224.4199999999983,0.07480313686542223,0.0,171.32006134969325,0.0,0.039828226650007834,52.86280788289946,Startup & Growth,1,0,1
1996,1308512000.0,782861000.0,105163.11000000002,109511.36,1308512000.0,0.0,782861000.0,0.0,105163.11000000002,0.0,0.13433177792737155,0.08036847197427308,0.0,0.5982833936563058,0.5982833936563058,0.0,32808.0,28774.0,18126.0,25409517.0,8.095628415300547,11.072561592980087,774.4914959765911,0.0,0.0,0.0,0.0,582.0,91.0,26.0,24437.9381443299,0.0,66038.70967741935,2248.3024054982816,4.697594501718213,2205.1168384879725,0.0,610.5127441244621,118.24451385729857,0.8770421848329676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4348.249999999985,0.08036847197427308,0.0,188.16384879725086,0.0,0.03970592639886844,51.496925344940635,Startup & Growth,1,0,1
1997,1810419000.0,1028272000.0,130621.37999999999,138323.25,1810419000.0,0.0,1028272000.0,0.0,130621.37999999999,0.0,0.12702998817433517,0.0721498062050829,0.0,0.5679745959360789,0.5679745959360789,0.0,42961.0,29737.0,21319.0,30909761.0,11.695890410958905,10.063480908877958,719.4842066059915,0.0,0.0,0.0,0.0,745.0,112.0,49.0,26570.926174496642,0.0,68882.50000000001,2430.0926174496644,4.805480984340044,1715.606711409396,0.0,690.6239973732352,122.96191107320021,0.6921859360815623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7701.87000000001,0.0721498062050829,0.0,185.66879194630872,0.0,0.0556802272936763,58.571109624561636,Startup & Growth,1,0,1
1998,2174102000.0,1286527000.0,182274.56,192318.83,2174102000.0,0.0,1286527000.0,0.0,182274.56,0.0,0.14167954500760574,0.08383901031322358,0.047837074801458254,0.5917509850043834,0.5917509850043834,0.0,48501.0,43058.0,22097.0,42208037.0,14.528767123287672,9.14595511974354,870.2508608069936,11922.47,22664.06,35377.33,31420.35,1025.0,138.0,54.0,23336.88780487805,27592.415730337085,61973.296703296706,2121.0751219512194,3.9431707317073172,1492.658536585366,0.5340257828147753,779.0834954971263,126.2881483842846,0.8877755097833034,0.7268926173908546,2144.3409414238886,1677.0503700954623,467.2905713284262,245.81905527721077,729.4144450629884,647.8289107441084,10044.26999999999,0.03600193551176532,0.0,187.62812682926827,1.042456149711467,0.052227179210688784,51.50919480098067,Startup & Growth,1,0,1
1999,3386558000.0,2002568000.0,293265.98,307487.04000000004,3386558000.0,0.0,2002568000.0,0.0,293265.98,0.0,0.1464449546781932,0.08659706403965324,0.044170384797779925,0.5913284225458415,0.5913284225458415,0.0,71789.0,61901.0,32259.0,53133576.0,17.424657534246574,11.287578616352203,740.135341068966,17456.479999999996,28980.940000000006,45211.31,45493.95,1640.0,201.0,176.0,23666.731707317074,29090.858895705518,48081.29213483147,2064.9743902439022,3.6478150406504066,1326.8439024390243,0.5426109471720857,812.0065718094176,129.28498021723627,0.8622630207970581,0.5836959822663843,2083.683711989302,1679.987602557495,403.6961094318072,243.16371588962093,629.7804677596846,633.7175611862542,14221.060000000056,0.042426679241873315,0.0,187.49209756097562,0.8557638758881438,0.04624929883223714,63.73668506708451,Startup & Growth,1,0,1
2000,4038523000.0,2596461000.0,432994.29,450610.24,4038523000.0,0.0,2596461000.0,0.0,432994.29,0.0,0.16676325583168783,0.10721600198884593,0.05543533366035058,0.6429234153179268,0.6429234153179268,0.0,82624.0,73493.0,36517.0,52315490.0,17.636612021857925,12.799999999999997,633.1754695972114,25262.78,58349.97000000001,61655.83000000001,62371.47,1745.0,225.0,231.0,32872.91690544412,37515.63071297989,59037.629310344826,2314.339828080229,3.9457497612225407,1657.760458452722,1.1125787027895562,835.499822000712,132.3674210250185,0.8894873160340822,0.533379730675915,2709.586439775368,2003.3755325329203,706.2109072424478,305.75595468628967,746.2217999612704,754.8832058481797,17615.95000000001,0.051780668328495344,0.0,258.22936389684816,1.4448344109962976,0.03909354123865452,77.19554953991639,Startup & Growth,1,0,1
2001,4681184000.0,2710254000.0,428618.86,446652.2,4681184000.0,0.0,2710254000.0,0.0,428618.86,0.0,0.158147118314372,0.09156206207660285,0.055343686554512696,0.5789676287024821,0.5789676287024821,0.0,91772.0,80392.0,40563.0,70528228.0,21.24109589041096,11.836966335612018,768.5157564398727,39147.68,54723.77999999999,72674.3,71044.97,2145.0,308.0,241.0,35526.30303030303,102064.71337579619,84699.41908713694,2182.370163170163,3.5653457653457656,1397.6540792540793,0.7753679845749136,863.107191282696,133.70908269434605,0.8759970361330254,0.5400938158331074,2823.01769602929,2226.7162097371747,596.3014862921152,426.5754260558776,791.9005796975113,774.1464716907118,18033.340000000026,0.03621837552209015,0.0,208.22946386946387,1.1690157874588991,0.040374456904052024,66.37319740969531,Startup & Growth,1,0,1
2002,5176715904.0,3060992421.0,443973.18999999994,464615.51999999996,5176715904.0,0.0,3060992421.0,0.0,443973.18999999994,0.0,0.14504223759396231,0.08576348368990966,0.05600950783796383,0.5913000592972081,0.5913000592972081,0.0,115193.0,99292.0,46446.0,29725856.0,15.473972602739726,20.3953611898017,258.05262472546076,52247.22,64198.21,69520.65000000001,80397.06999999999,2402.0,384.0,260.0,39931.411323896755,109864.98714652956,83803.85454545454,2157.635495420483,4.000520399666944,1556.0670274771023,2.1545071738220085,849.7867286341337,131.22373469566338,0.861080035729462,0.5231273010249473,2517.039316625142,1959.729323830441,557.3099927947011,453.56245605201707,603.5145364735706,697.933641801151,20642.330000000016,0.02975397585194583,0.0,193.42860949208992,1.2401339225587915,0.044428843014112006,174.14858983371244,Startup & Growth,1,0,1
2003,6618681461.0,4565582117.0,558157.9199999999,590062.74,6618681461.0,0.0,4565582117.0,0.0,558157.9199999999,0.0,0.12225339632413841,0.08433068176628479,0.0521310644775869,0.6898023637944041,0.6898023637944041,0.0,134414.0,116035.0,59239.0,98648940.0,35.964383561643835,10.239506360935478,733.9186394274406,64711.69000000001,88010.44999999998,72556.04,87408.70999999999,2975.0,483.0,236.0,39827.37142857143,110416.78936605318,89539.90196078431,2278.722725714286,3.7813725490196077,1704.5926050420169,0.8901877708974878,864.449664881614,132.06384051117465,0.8595503537168043,0.5277147154117011,2566.9864002261675,1912.214947847695,654.7714523784724,481.435639144732,539.7952594223816,650.2946865653875,31904.820000000065,0.03219961728869789,0.0,198.3404168067227,1.3297278395794365,0.05407021632987717,67.09328514832495,Startup & Growth,1,0,1
2004,8222469802.0,6014292245.0,671936.52,787227.42,8222469802.0,0.0,6014292245.0,0.0,671936.52,0.0,0.11172329055985207,0.0817195485274462,0.055460463945891186,0.731445951134671,0.731445951134671,0.0,189607.0,152083.0,71414.0,122032006.0,41.79234972677595,12.395855125523013,643.604961842126,74391.77000000002,159244.59,84182.78,102014.95999999999,3634.0,538.0,221.0,42439.70831040176,112256.07011070111,70569.54887218044,2365.615921298844,4.347986607961842,1771.5798018712162,1.3021556000644618,953.5099700338869,126.24685261002807,0.8020959141803836,0.5677528112043817,2405.090476617425,1565.2238577689645,839.8666188484602,392.34717072681923,443.98561234553574,538.0337223836672,115290.90000000002,0.026259084581555014,0.0,216.62834892680243,1.9367002109422888,0.1464518347188669,67.37961680315244,Expansion & Crisis,2,0,1
2005,9194707168.0,7285012667.0,806414.59,960340.2299999999,8562513876.0,632193292.0,6809040684.0,475971983.0,778240.61,28173.98,0.11069501548747272,0.08770421670485982,0.058270377752175966,0.7923050222147108,0.7952151415585046,0.752889961065895,197283.0,176846.0,79779.0,137718795.0,46.64109589041096,11.588522086466167,698.0773558796247,73032.56999999999,250569.64,75587.25,117037.15,3790.0,594.0,334.0,45880.976253298155,99878.6310517529,68596.2796833773,2426.044107651715,4.337796833773087,1939.2459102902374,1.8166046253890036,939.3499417139849,122.69359772157071,0.896407698585281,0.5117527096170319,2715.789297608005,1445.6867545607076,1270.1025430472976,370.19190705737435,383.1412235215401,593.2449830953503,153925.6399999999,0.02943383895268386,0.06875621816431511,253.38792348284957,2.725150844086131,0.1602824032478572,66.7643597084915,Expansion & Crisis,2,0,1
2006,10492689662.0,8360277319.0,952053.54,1131705.28,9671670330.0,821019332.0,7717600346.0,642676973.0,889653.3400000001,62400.200000000004,0.11387822480915959,0.09073493743438611,0.06265341120121273,0.796771617984407,0.7979594095614713,0.7827793426428112,227496.0,193524.0,94152.0,156077671.0,50.556164383561644,12.328401885872216,686.0677594331329,81796.14,323324.38,84919.57,126424.57,4034.0,652.0,363.0,47478.15071888945,102725.69465648854,79451.43902439025,2601.0633767972236,4.6995537927615265,2214.7860684184434,2.0689455956835747,903.9992246579998,123.27903332656393,0.8506699018883849,0.5481684610508507,2889.9704610190947,1468.7394064071455,1421.2310546119493,359.54979428209725,373.27939831909134,555.7221665435876,179651.74,0.02808152623317338,0.07824679452527585,280.541715418939,3.0814251675711097,0.15874428013625597,67.22735926780967,Expansion & Crisis,2,0,1
2007,12585106630.0,9893004732.0,1112289.85,1334363.9100000001,11326235494.0,1258871136.0,8988522830.0,904481902.0,1014846.51,97443.34,0.11243195370180886,0.08838144027707773,0.0600989997333062,0.786088272658521,0.7936019725849434,0.7184864885169628,259989.0,217908.0,105087.0,180298733.0,56.80821917808219,12.538654448999276,693.4860051771421,95011.24,409131.76,98981.07000000002,143157.12,5219.0,704.0,418.0,42983.89346618125,108904.61647727272,79688.53228962819,2411.401921824104,4.1513220923548575,1992.7518681739798,2.266238997919081,925.7513774301293,129.3640306386114,0.8381431522102858,0.5598217921871323,2909.170464904285,1335.5201950851772,1573.6502698191077,365.4433072168438,380.7125301455062,550.6276034755316,222074.06000000006,0.028282440543771527,0.10002864282445893,255.67424985629432,3.2509200917275023,0.16642690823375164,69.80141468880981,Expansion & Crisis,2,0,1
2008,12131006116.0,9933306038.0,1202674.31,1370900.0,11134496990.0,996509126.0,9107711289.0,825594749.0,1122282.47,80391.84,0.12107492766246733,0.09914052457806873,0.0765612498352482,0.8188361248040772,0.8179724056847583,0.8284868923518519,402079.0,211481.0,101018.0,170355317.0,58.58904109589041,18.80191723170447,423.686183560942,85843.51000000002,567773.6900000001,97096.78999999998,133376.38,4939.0,641.0,225.0,42437.98744685159,107706.64586583461,76265.29017857143,2456.166453938044,6.784082472835256,2154.431463859081,3.3298622549010313,910.8809717080125,131.83673106626725,0.5259687772800867,0.5911227343355017,2309.9067347461573,897.8118727911681,1412.0948619549893,213.49911335832022,241.48684711213465,331.7168516634791,168225.68999999994,0.022579274742820524,0.08214562885148248,277.566308969427,4.6803511973433425,0.1227118608213582,71.21002343589898,Expansion & Crisis,2,0,1
2009,10557102848.0,8561588114.0,923566.4400000001,1113397.1099999999,9904515024.0,652587824.0,8026314173.0,535273941.0,868536.14,55030.3,0.10787326226191311,0.08748294426012587,0.05183522580758702,0.8109789434912967,0.8103692259087031,0.8202328044048827,214002.0,180646.0,88730.0,147507936.0,50.0,11.72613698630137,689.2829786637508,74725.58000000002,263817.67,56874.20999999999,121562.25,4774.0,634.0,237.0,38378.519061583575,96118.70662460568,66613.4140969163,2211.374706325932,3.735546711353163,1970.717008797654,1.7849085082446003,885.0714076411585,134.42992611990675,0.8441322978289922,0.3671240444482658,2557.1246997691605,1324.343370622704,1232.7813291464565,349.18168989074877,265.76485266492836,568.0425883870245,189830.6699999998,0.035647718452538855,0.061815048446139755,233.22101173020525,2.4989589833348944,0.1704968230068424,71.56972793653624,Expansion & Crisis,2,0,1
2010,11026678570.0,9214972300.0,1085300.4300000002,1316948.8000000003,10168912986.0,857765584.0,8457598851.0,757373449.0,1029056.8300000001,56243.600000000006,0.11777576694397662,0.09842496297595443,0.05746388597232865,0.8356979158774916,0.8317112028241325,0.882960873142236,211747.0,194128.0,83447.0,196284671.0,43.53972602739726,13.324125346086081,926.9773408832239,83418.25000000001,330160.81,70354.83,126619.72999999998,4309.0,674.0,245.0,44402.55047574843,101125.80118694365,170603.83233532935,2558.9878324437227,4.095052989866171,6441.289626363426,1.6803365149181724,965.2102891655782,136.9027096936189,0.9167922095708558,0.07788448923833659,2992.4192550543803,1433.1961727911132,1559.223082263267,393.9524526911834,332.25892220432877,597.9765002573826,231648.3700000001,0.040961077003625786,0.07779002340139855,305.6274773729404,2.994200002331255,0.17589777977701188,56.17697252578628,Restructuring,3,0,1
