Year,Employee_Group,BlockHrs_per_Emp_Month,ASMs_per_Emp_000,Employee_Count,PaxRev_per_Emp_000,Avg_Salary,Pax_per_Employee,Era
1995,Pilots_CoPilots,76.1984126984127,17068.90476190476,42.0,1276.807619047619,0.0,14558.357142857143,Startup & Growth
1996,Pilots_CoPilots,60.08791208791209,14379.252747252747,91.0,1155.6385714285716,0.0,14103.054945054944,Startup & Growth
1997,Pilots_CoPilots,40.05494470164609,6286.177083333333,112.0,453.5464583333333,0.0,4437.940972222223,Startup & Growth
1998,Pilots_CoPilots,36.610978727433405,6107.028089887641,138.0,512.0071910112359,27592.415730337085,4297.682584269663,Startup & Growth
1999,Pilots_CoPilots,38.878540571509824,6925.476482617587,201.0,599.7259304703476,29090.858895705518,4449.946830265849,Startup & Growth
2000,Pilots_CoPilots,39.994483231899224,7383.0402193784275,225.0,791.5800548446069,37515.63071297989,5288.468007312615,Startup & Growth
2001,Pilots_CoPilots,49.64204092120031,14908.229299363058,308.0,1365.0282165605095,102064.71337579619,9547.668789808917,Startup & Growth
2002,Pilots_CoPilots,50.039908538801626,13322.983187660668,384.0,1141.3192544987146,109864.98714652956,9608.413881748073,Startup & Growth
2003,Pilots_CoPilots,46.57511259989712,13863.39490593047,483.0,1141.4272392638036,110416.78936605318,10370.476482617587,Startup & Growth
2004,Pilots_CoPilots,58.73502879862747,15860.974645756458,538.0,1239.7352767527675,112256.07011070111,11878.083025830258,Expansion & Crisis
2005,Pilots_CoPilots,55.350520204793185,15350.095439065108,594.0,1346.2680968280467,99878.6310517529,12270.020033388982,Expansion & Crisis
2006,Pilots_CoPilots,58.152154303362266,16019.373529770992,652.0,1453.5168549618322,102725.69465648854,13640.37709923664,Expansion & Crisis
2007,Pilots_CoPilots,61.55042613636363,17876.571917613637,704.0,1579.9571732954546,108904.61647727272,14772.97159090909,Expansion & Crisis
2008,Pilots_CoPilots,104.54472178887154,18925.126546021842,641.0,1876.2469734789393,107706.64586583461,16600.21372854914,Expansion & Crisis
2009,Pilots_CoPilots,56.25709779179811,16651.58177917981,634.0,1456.7294006309148,96118.70662460568,14839.43690851735,Expansion & Crisis
2010,Pilots_CoPilots,52.360781404549954,16360.05722551929,674.0,1610.2380267062317,101125.80118694365,41180.29228486647,Restructuring
2011,Pilots_CoPilots,54.44995069033531,17557.02779585799,676.0,2162.744778106509,113250.23668639053,47137.531065088755,Restructuring
2012,Pilots_CoPilots,54.790709545686575,18236.74110872894,653.0,1789.5498774885143,116121.79173047474,49166.715160796324,Restructuring
2013,Pilots_CoPilots,50.492231070789565,16514.685647416412,646.0,1730.1848328267479,114868.28267477204,48660.1367781155,Restructuring
2014,Pilots_CoPilots,46.44834797156002,15732.853987452949,797.0,1587.0055959849435,125811.38017565872,45809.39021329988,Restructuring
2015,Pilots_CoPilots,44.754158004158,16107.582656964658,962.0,1241.618212058212,160260.14553014553,40865.448024948026,ULCC Pivot
