Year,Region,PaxRevenue_000,TotalRevenue_000,RPM,ASM,ACOpExpense_000,LoadFactor_Pct,Yield_cents,RASM_cents,CASM_cents,Era
2005,LatinAmerica,28173.98,34339.35,475971983.0,632193292.0,20058.78,0.752889961065895,5.919251764026623,4.456545230157235,3.1728871934946126,Expansion & Crisis
2006,LatinAmerica,62400.200000000004,70711.27,642676973.0,821019332.0,46333.619999999995,0.7827793426428112,9.709418980536588,7.600332607028064,5.643426189141183,Expansion & Crisis
2007,LatinAmerica,97443.34,108496.29999999999,904481902.0,1258871136.0,69780.42,0.7184864885169628,10.773387481223477,7.740533340816864,5.543094762004298,Expansion & Crisis
2008,LatinAmerica,80391.84,95027.39000000001,825594749.0,996509126.0,58746.369999999995,0.8284868923518519,9.737445653254754,8.06734608871008,5.895216457857106,Expansion & Crisis
2009,LatinAmerica,55030.3,62741.7,535273941.0,652587824.0,29075.839999999997,0.8202328044048827,10.280773223742644,8.432627452761055,4.455467744062598,Expansion & Crisis
2010,LatinAmerica,56243.600000000006,64656.810000000005,757373449.0,857765584.0,32888.979999999996,0.882960873142236,7.426138330339067,6.55698958423121,3.834262019073966,Restructuring
2011,LatinAmerica,61442.94,69490.07,645039376.0,765105996.0,19236.04,0.8430719133979967,9.525455698692106,8.030644161884204,2.5141666776324674,Restructuring
2012,LatinAmerica,55239.45,68226.01999999999,1193491246.0,1421661060.0,33563.33,0.8395047733810758,4.628391719263603,3.885556941399239,2.3608531558147905,Restructuring
2013,LatinAmerica,62324.18000000001,162746.09000000003,1222893434.0,1428097560.0,101500.94,0.8563094484945413,5.096452255544617,4.36414022022417,7.107423389197584,Restructuring
2014,LatinAmerica,49257.3,154657.75,1288208914.0,1542049200.0,92084.09,0.8353876867223173,3.8237043281319814,3.194275513388289,5.971540337364074,Restructuring
2015,LatinAmerica,32489.190000000002,124109.77,1345509720.0,1642916295.0,58148.130000000005,0.8189764287413073,2.414638074855379,1.9775316672478436,3.5393239556370704,ULCC Pivot
2016,LatinAmerica,36783.85,64100.15000000001,1147049108.0,1355191410.0,42421.509999999995,0.8464111412866763,3.2068243411248964,2.714291850477417,3.1302965534588205,ULCC Pivot
2017,LatinAmerica,72797.89,95936.74,1423321878.0,1741776070.0,56779.02,0.8171669725603705,5.114647018725865,4.17952062000714,3.2598346583094346,ULCC Pivot
2018,LatinAmerica,85424.48999999999,113367.45,1761177054.0,2218428374.0,83427.2,0.7938850199722518,4.850420337125287,3.8506760462125245,3.760644291146269,ULCC Pivot
2019,LatinAmerica,110069.78,146795.98,1936768644.0,2397547892.0,71118.83,0.8078122862373254,5.6831661510521645,4.59093144154803,2.9663153022846895,ULCC Pivot
2020,LatinAmerica,33577.14,51313.87,939582323.0,1400687484.0,33527.12,0.6708008272600514,3.5736240644450694,2.3971899787461797,2.393618875229416,COVID Impact
1995,Domestic,53625.92,55850.34,347337000.0,716894000.0,0.0,0.48450259034111043,15.439161390810654,7.480313686542223,0.0,Startup & Growth
1996,Domestic,105163.11000000002,109511.36,782861000.0,1308512000.0,0.0,0.5982833936563058,13.433177792737155,8.036847197427308,0.0,Startup & Growth
1997,Domestic,130621.37999999999,138323.25,1028272000.0,1810419000.0,0.0,0.5679745959360789,12.702998817433517,7.21498062050829,0.0,Startup & Growth
1998,Domestic,182274.56,192318.83,1286527000.0,2174102000.0,104002.68,0.5917509850043834,14.167954500760574,8.383901031322358,4.783707480145826,Startup & Growth
1999,Domestic,293265.98,307487.04000000004,2002568000.0,3386558000.0,149585.57,0.5913284225458415,14.64449546781932,8.659706403965323,4.417038479777993,Startup & Growth
2000,Domestic,432994.29,450610.24,2596461000.0,4038523000.0,223876.87000000002,0.6429234153179268,16.676325583168783,10.721600198884593,5.543533366035059,Startup & Growth
2001,Domestic,428618.86,446652.2,2710254000.0,4681184000.0,259073.97999999998,0.5789676287024821,15.8147118314372,9.156206207660285,5.534368655451271,Startup & Growth
2002,Domestic,443973.18999999994,464615.51999999996,3060992421.0,5176715904.0,289945.31,0.5913000592972081,14.50422375939623,8.576348368990965,5.600950783796383,Startup & Growth
2003,Domestic,558157.9199999999,590062.74,4565582117.0,6618681461.0,345038.91000000003,0.6898023637944041,12.225339632413844,8.43306817662848,5.213106447758689,Startup & Growth
2004,Domestic,671936.52,787227.42,6014292245.0,8222469802.0,456021.99000000005,0.731445951134671,11.172329055985207,8.171954852744621,5.546046394589119,Expansion & Crisis
2005,Domestic,778240.61,926000.8799999999,6809040684.0,8562513876.0,515720.28,0.7952151415585046,11.429519166021771,9.088926701553646,6.0230008087405285,Expansion & Crisis
2006,Domestic,889653.3400000001,1060994.01,7717600346.0,9671670330.0,611069.1799999999,0.7979594095614713,11.527590184960845,9.198549057657967,6.318134915171369,Expansion & Crisis
2007,Domestic,1014846.51,1225867.61,8988522830.0,11326235494.0,686571.9,0.7936019725849434,11.290470405358029,8.960139585104058,6.061783726496832,Expansion & Crisis
2008,Domestic,1122282.47,1275872.6099999999,9107711289.0,11134496990.0,870018.62,0.8179724056847583,12.3223325200861,10.079327975102357,7.8137218123223,Expansion & Crisis
2009,Domestic,868536.14,1050655.41,8026314173.0,9904515024.0,518153.97000000003,0.8103692259087031,10.821108185893086,8.769093064076511,5.231492594482837,Expansion & Crisis
2010,Domestic,1029056.8300000001,1252291.9900000002,8457598851.0,10168912986.0,600746.82,0.8317112028241325,12.16724567018602,10.119634531407131,5.907679816191515,Restructuring
2011,Domestic,1400572.53,1592423.68,9687450180.0,11103444794.0,835518.03,0.8724724947734089,14.457597241547827,12.61385593376239,7.524854182654119,Restructuring
2012,Domestic,1113336.62,1365239.4899999998,9392896755.0,10486930884.0,813197.6200000001,0.895676424198697,11.852963457810306,10.616419926049359,7.754390955705665,Restructuring
2013,Domestic,1076137.44,1185805.3900000001,8634981578.0,9438565596.0,715039.65,0.9148616376263197,12.462533130837908,11.401493469050633,7.575723691564203,Restructuring
2014,Domestic,1215586.1600000001,1420211.54,9865530047.0,10997035428.0,804660.8,0.8971081444259943,12.321549417100469,11.053762334028194,7.317070180125276,Restructuring
2015,Domestic,1161947.53,1479902.49,12049634831.0,13852578221.0,800690.4099999999,0.8698478101883732,9.643010317712424,8.38795140848604,5.780082214487572,ULCC Pivot
2016,Domestic,1047421.45,1649477.23,14862409070.0,17003489972.0,860703.8200000001,0.8740799150335747,7.047454050462359,6.1600380376311605,5.06192447207802,ULCC Pivot
2017,Domestic,1071958.29,1818803.45,17486053692.0,20153472920.0,1024025.6100000001,0.8676446864226118,6.1303614233463595,5.318975514816629,5.081137201835683,ULCC Pivot
2018,Domestic,1117701.22,2042490.4099999997,19114025279.0,22225520690.0,1281489.24,0.8600034863345197,5.847544950293566,5.028909043750281,5.76584574946127,ULCC Pivot
2019,Domestic,1255603.6400000001,2361553.41,22254760555.0,25706367786.0,1446056.94,0.865729485404788,5.641955288159244,4.884407048294926,5.625286901821813,ULCC Pivot
2020,Domestic,599114.21,1198692.44,10495189121.0,15545519848.0,1196208.9100000001,0.6751262887069198,5.708465117614911,3.8539348690682655,7.694878792708226,COVID Impact
2005,International,28173.98,34339.35,475971983.0,632193292.0,20058.78,0.752889961065895,5.919251764026623,4.456545230157235,3.1728871934946126,Expansion & Crisis
2006,International,62400.200000000004,70711.27,642676973.0,821019332.0,46333.619999999995,0.7827793426428112,9.709418980536588,7.600332607028064,5.643426189141183,Expansion & Crisis
2007,International,97443.34,108496.29999999999,904481902.0,1258871136.0,69780.42,0.7184864885169628,10.773387481223477,7.740533340816864,5.543094762004298,Expansion & Crisis
2008,International,80391.84,95027.39000000001,825594749.0,996509126.0,58746.369999999995,0.8284868923518519,9.737445653254754,8.06734608871008,5.895216457857106,Expansion & Crisis
2009,International,55030.3,62741.7,535273941.0,652587824.0,29075.839999999997,0.8202328044048827,10.280773223742644,8.432627452761055,4.455467744062598,Expansion & Crisis
2010,International,56243.600000000006,64656.810000000005,757373449.0,857765584.0,32888.979999999996,0.882960873142236,7.426138330339067,6.55698958423121,3.834262019073966,Restructuring
2011,International,61442.94,69490.07,645039376.0,765105996.0,19236.04,0.8430719133979967,9.525455698692106,8.030644161884204,2.5141666776324674,Restructuring
2012,International,55239.45,68226.01999999999,1193491246.0,1421661060.0,33563.33,0.8395047733810758,4.628391719263603,3.885556941399239,2.3608531558147905,Restructuring
2013,International,62324.18000000001,162746.09000000003,1222893434.0,1428097560.0,101500.94,0.8563094484945413,5.096452255544617,4.36414022022417,7.107423389197584,Restructuring
2014,International,49257.3,154657.75,1288208914.0,1542049200.0,92084.09,0.8353876867223173,3.8237043281319814,3.194275513388289,5.971540337364074,Restructuring
2015,International,32489.190000000002,124109.77,1345509720.0,1642916295.0,58148.130000000005,0.8189764287413073,2.414638074855379,1.9775316672478436,3.5393239556370704,ULCC Pivot
2016,International,36783.85,64100.15000000001,1147049108.0,1355191410.0,42421.509999999995,0.8464111412866763,3.2068243411248964,2.714291850477417,3.1302965534588205,ULCC Pivot
2017,International,72797.89,95936.74,1423321878.0,1741776070.0,56779.02,0.8171669725603705,5.114647018725865,4.17952062000714,3.2598346583094346,ULCC Pivot
2018,International,85424.48999999999,113367.45,1761177054.0,2218428374.0,83427.2,0.7938850199722518,4.850420337125287,3.8506760462125245,3.760644291146269,ULCC Pivot
2019,International,110069.78,146795.98,1936768644.0,2397547892.0,71118.83,0.8078122862373254,5.6831661510521645,4.59093144154803,2.9663153022846895,ULCC Pivot
2020,International,33577.14,51313.87,939582323.0,1400687484.0,33527.12,0.6708008272600514,3.5736240644450694,2.3971899787461797,2.393618875229416,COVID Impact
1995,Total,53625.92,55850.34,347337000.0,716894000.0,0.0,0.48450259034111043,15.439161390810654,7.480313686542223,0.0,Startup & Growth
1996,Total,105163.11000000002,109511.36,782861000.0,1308512000.0,0.0,0.5982833936563058,13.433177792737155,8.036847197427308,0.0,Startup & Growth
1997,Total,130621.37999999999,138323.25,1028272000.0,1810419000.0,0.0,0.5679745959360789,12.702998817433517,7.21498062050829,0.0,Startup & Growth
1998,Total,182274.56,192318.83,1286527000.0,2174102000.0,104002.68,0.5917509850043834,14.167954500760574,8.383901031322358,4.783707480145826,Startup & Growth
1999,Total,293265.98,307487.04000000004,2002568000.0,3386558000.0,149585.57,0.5913284225458415,14.64449546781932,8.659706403965323,4.417038479777993,Startup & Growth
2000,Total,432994.29,450610.24,2596461000.0,4038523000.0,223876.87000000002,0.6429234153179268,16.676325583168783,10.721600198884593,5.543533366035059,Startup & Growth
2001,Total,428618.86,446652.2,2710254000.0,4681184000.0,259073.97999999998,0.5789676287024821,15.8147118314372,9.156206207660285,5.534368655451271,Startup & Growth
2002,Total,443973.18999999994,464615.51999999996,3060992421.0,5176715904.0,289945.31,0.5913000592972081,14.50422375939623,8.576348368990965,5.600950783796383,Startup & Growth
2003,Total,558157.9199999999,590062.74,4565582117.0,6618681461.0,345038.91000000003,0.6898023637944041,12.225339632413844,8.43306817662848,5.213106447758689,Startup & Growth
2004,Total,671936.52,787227.42,6014292245.0,8222469802.0,456021.99000000005,0.731445951134671,11.172329055985207,8.171954852744621,5.546046394589119,Expansion & Crisis
2005,Total,806414.59,960340.2299999999,7285012667.0,9194707168.0,535779.06,0.7923050222147108,11.069501548747272,8.770421670485982,5.827037775217597,Expansion & Crisis
